iter	Logloss
0	0.5945638419
1	0.5139319067
2	0.4436324825
3	0.3906688335
4	0.3441182175
5	0.3104924128
6	0.2728845497
7	0.2410286902
8	0.2189577819
9	0.1939436453
10	0.1737647754
11	0.1555192471
12	0.1418141505
13	0.1300099277
14	0.1200227315
15	0.1105249866
16	0.1014869882
17	0.09326251336
18	0.08764624874
19	0.08274570444
20	0.07724553935
21	0.07204100353
22	0.06798738101
23	0.06389633149
24	0.05778454107
25	0.05288292328
26	0.04945830994
27	0.04615082904
28	0.04315983863
29	0.04087983985
30	0.0396285974
31	0.03757599625
32	0.03574078571
33	0.03401909161
34	0.03263225279
35	0.03120586685
36	0.03044514262
37	0.02913679046
38	0.02820724895
39	0.02719107967
40	0.02608071364
41	0.02533743709
42	0.02425363158
43	0.02359839525
44	0.02300302883
45	0.02226892869
46	0.02181222196
47	0.02132144694
48	0.02073826404
49	0.02015886998
50	0.01963673624
51	0.01921191945
52	0.01880561336
53	0.01836026551
54	0.01793270353
55	0.01746223995
56	0.01715407823
57	0.01678989408
58	0.01636906005
59	0.01600464156
60	0.01575871551
61	0.01548005062
62	0.01518837613
63	0.01485165731
64	0.01440249387
65	0.01418681924
66	0.01398667126
67	0.01375975186
68	0.01354480039
69	0.01337679427
70	0.01314780056
71	0.01296050217
72	0.01284740407
73	0.01262883241
74	0.01245820828
75	0.01231763137
76	0.01214716916
77	0.01201372816
78	0.01189174276
79	0.01162783298
80	0.01150623094
81	0.01139414971
82	0.01123789906
83	0.01118021394
84	0.0110363878
85	0.01088882018
86	0.01075555121
87	0.01062601692
88	0.01048238181
89	0.01039647503
90	0.01029326807
91	0.01018474796
92	0.01010944996
93	0.009993117408
94	0.009819620689
95	0.009674724474
96	0.009622397363
97	0.009525443152
98	0.00942254934
99	0.00935725387
100	0.009268789764
101	0.009207332179
102	0.009130089086
103	0.009042599684
104	0.008933132319
105	0.008856713311
106	0.00880133175
107	0.008721773976
108	0.008641542155
109	0.008574289488
110	0.008489258982
111	0.008441207687
112	0.008385668413
113	0.008328985347
114	0.008250867058
115	0.008159159307
116	0.008094452794
117	0.008048786375
118	0.007981210315
119	0.007923242782
120	0.007823700787
121	0.007789132045
122	0.007746281445
123	0.007674919928
124	0.007634316124
125	0.007584001853
126	0.007541499972
127	0.007470429392
128	0.007436152739
129	0.007371785471
130	0.007306774769
131	0.007278197706
132	0.007243195253
133	0.007172735213
134	0.007131699096
135	0.007086565186
136	0.0070196193
137	0.006962896004
138	0.006927743965
139	0.00690110129
140	0.006870516941
141	0.006806775803
142	0.006778769184
143	0.006749860834
144	0.006711714041
145	0.006663745765
146	0.006635104258
147	0.006597981206
148	0.006548289035
149	0.006516871721
150	0.006489859956
151	0.006459615255
152	0.006400066877
153	0.006354864449
154	0.006311387127
155	0.006270804085
156	0.006252091201
157	0.006226013221
158	0.006202672442
159	0.006177800947
160	0.006147102659
161	0.006130762629
162	0.006102640776
163	0.006079307454
164	0.00606483156
165	0.006043357101
166	0.006027472437
167	0.005987251614
168	0.005949451938
169	0.005911714388
170	0.005884147412
171	0.005851063173
172	0.005823558293
173	0.005780125783
174	0.005758744938
175	0.005745678075
176	0.005718038851
177	0.005686007083
178	0.005668686768
179	0.005650177021
180	0.005635764133
181	0.005622852426
182	0.005594575844
183	0.005572738175
184	0.00556054628
185	0.005550636166
186	0.005538431687
187	0.005523742492
188	0.005496908036
189	0.005479488302
190	0.005457232583
191	0.005437483921
192	0.005423955387
193	0.005415488133
194	0.005402096966
195	0.005378729586
196	0.005349969215
197	0.005342385531
198	0.005325981997
199	0.005316696559
200	0.005301595712
201	0.005287321472
202	0.005266767268
203	0.005249350227
204	0.005238403297
205	0.005215643685
206	0.005202976981
207	0.005193436508
208	0.005173374343
209	0.005161510797
210	0.005144267863
211	0.005135321024
212	0.005120541851
213	0.005099513173
214	0.005087722087
215	0.005071137408
216	0.005062405544
217	0.005049969962
218	0.005038578804
219	0.005023657446
220	0.005001988665
221	0.004989471761
222	0.004971650517
223	0.004949299246
224	0.004939749648
225	0.004925157133
226	0.004906343063
227	0.004887531063
228	0.004871485499
229	0.004865427552
230	0.004857051129
231	0.004842275002
232	0.004836696383
233	0.004828683028
234	0.004822419568
235	0.004805288547
236	0.004788377803
237	0.004784088181
238	0.004775242567
239	0.004758883771
240	0.004747512593
241	0.004737958737
242	0.004725735986
243	0.00471862357
244	0.004709332179
245	0.004691219449
246	0.004680725838
247	0.004674882561
248	0.004666117877
249	0.004657580977
250	0.004652727802
251	0.004644469862
252	0.004641600723
253	0.004635729786
254	0.004630990713
255	0.004620873768
256	0.004605998932
257	0.00459120012
258	0.004579870708
259	0.004567651109
260	0.004556648857
261	0.004553379486
262	0.00454102504
263	0.004533327146
264	0.004522188486
265	0.00451300035
266	0.004497468844
267	0.004494450264
268	0.00448602795
269	0.004481780293
270	0.004477374195
271	0.004470407962
272	0.004462287491
273	0.004453181032
274	0.004441874664
275	0.004436984084
276	0.004434444277
277	0.004424548423
278	0.004410442537
279	0.004399425177
280	0.004384842947
281	0.004375910848
282	0.004366487426
283	0.004353070364
284	0.004349829483
285	0.004344249787
286	0.004337605905
287	0.004334429786
288	0.004328750476
289	0.004321409379
290	0.004312297676
291	0.004301653368
292	0.004298673712
293	0.00429217489
294	0.004284074148
295	0.00427465765
296	0.004265844155
297	0.004263259609
298	0.004256544938
299	0.004250518156
300	0.004242707801
301	0.004239932878
302	0.0042366729
303	0.00422694998
304	0.004215947603
305	0.004207600974
306	0.004203400096
307	0.004194181875
